country,year,pop,continent,lifeExp,gdpPercap
Clearfield County Strips,2013,2,PA,262,142
Coshocton Strip,2010,40,OH,294832,2862
F & M Strip,2006,3,OH,13969,3009
No. 1,2004,24,KY,186198,2017
Chavies Job #7,2013,49,KY,385229,2399
No. 1,2005,30,KY,229274,2134
#1,2011,17,KY,45575,1349
ROCO #7,2007,5,KY,1496,115
No 2,2004,8,KY,84459,2675
Tremont Stripping,2009,10,PA,51974,2373
Patterson Strip,2008,2,PA,13557,1066
Mine No 3,2004,31,VA,366311,2406
Bayonet #1,2000,10,KY,170406,1908
Mine No 1,2000,34,WV,265890,1660
Bowman Strip,2012,26,OH,129820,1807
Phillips Rider Mine,2012,45,VA,178326,2016
State Line,2008,7,VA,6384,1554
Cedar Grove #1 Mine,2010,6,WV,12985,1619
Mine No. 42,2016,66,WV,246672,1851
Piedmont Mine,2009,12,WV,46215,2041
Freeze Fork Surface Mine,2005,55,WV,1008090,3360
Copperhead No. 1,2004,9,WV,34629,1739
Wesley Strip,2005,4,WV,20147,2317
Empire/White,2005,16,OH,5498,3057
Kimble #1,2015,10,OH,132517,2818
#3 Vein Slope,2006,1,PA,687,1659
Sam #14,2006,23,KY,142668,2185
Connor Coal Company Inc No 1,2006,12,KY,10845,311
East Volunteer,2003,50,KY,585807,2202
Cobra No 1,2013,8,MD,25230,2113
Deep Mine # 9 ,2001,30,VA,52371,1283
Big Branch,2009,31,KY,93956,2225
M.C. #39,2007,2,WV,7451,525
#2,2003,6,KY,3019,600
Mine No 9,2011,16,KY,108366,2614
Persimmon #1,2011,18,KY,122871,2654
FIRST CREEK/HARVEYTON AML REFUSE REMOVAL,2014,2,KY,738,36
Mine No. 8,2006,12,KY,49793,1934
Black Hawk,2013,27,IL,640865,2110
Mid Port Strip,2003,3,PA,39478,3711
Jeddo Basin (J-44),2003,52,PA,99458,1921
D-15,2016,13,VA,2671,283
No 7,2000,29,WV,260284,2216
Lindbergh,2012,16,AL,32657,1224
No 5 Strip,2009,27,VA,233093,2224
Columbiana Pits,2001,8,OH,161255,4107
Rattling Run Slope,2001,2,PA,3244,1197
No 3,2007,12,KY,60589,2007
Mine #15,2009,126,KY,505535,2459
Buffalo Creek Surface Mine,2008,20,KY,16998,268
Rock Crusher Plant Site,2009,4,KY,94312,1776
No. 41 Auger S/N 41,2012,3,KY,11818,653
Laurel Fork Surface,2011,16,KY,179812,2822
No 7,2006,28,KY,183939,1852
Paradise #9,2011,206,KY,1758880,2640
Wilson Strip #6,2002,63,WV,1233574,2711
Spring Branch No 1,2002,19,KY,6215,199
3 Pole,2016,15,VA,97324,2569
Powellton #1 Mine,2014,173,WV,773946,2672
Mine No. 10,2009,12,WV,38150,2247
Foidel Creek Mine,2007,413,CO,8290117,2473
Mine No. 6,2008,12,WV,44383,1532
Mine No 4,2004,11,WV,76837,2403
Portable Auger #6 unit 293,2012,3,OH,812,115
Jett #2 Stripping ,2018,1,PA,887,944
Auger I,2004,4,PA,1093,61
Auger #3,2006,4,PA,1617,113
Genesis No. 17,2003,58,PA,749265,2453
Mine No 4,2003,16,TN,40428,1230
Wheeler Mine #2,2000,5,AL,12057,1445
Rader Run Mine No 1,2000,18,WV,227341,2407
Beaver Creek,2001,5,WV,38659,1990
Hawkeye Mine,2018,14,IL,150557,1634
King #1,2008,14,PA,92736,2478
Putt/Raccoon,2003,16,PA,142338,2569
#4,2000,23,KY,117417,1516
Mine #5,2000,12,WV,106357,1068
Jacobs Ranch Mine,2001,363,WY,29335345,2146
Deep Mine # 7 ,2003,42,VA,252463,2095
#3 Vein Slope,2007,1,PA,449,1271
Dilworth,2000,338,PA,4835330,2063
No 12,2006,29,KY,97816,1901
No. 1,2006,3,KY,3877,643
Millers Creek Surface,2007,22,KY,74805,1382
Rowdy Gap Mine,2011,92,KY,836379,2380
Kayenta Mine,2013,319,AZ,7602722,2541
Mount View No. 1 Mine,2008,13,WV,38086,1978
MT-34/Peg Fork,2005,50,WV,846478,2587
ADDCAR System 11 HWM Serial No 23011,2009,23,IN,368236,2337
Auger #1,2013,4,PA,7940,521
Mine #1,2011,45,KY,101576,1910
D-29 Darby Fork,2003,122,KY,1122057,2615
Friendsville Mine,2018,64,IL,806384,2100
Harmony Mine,2012,18,PA,39360,2012
West Dante,2007,12,VA,95625,2342
Upshur #1,2001,4,WV,7835,1745
No 30-A Mine,2002,19,WV,2301,93
Burns Farm Mine,2010,19,PA,209890,3094
Rebco Coal #2,2001,29,KY,77927,622
Mine #1,2004,28,KY,72398,1357
Mine #3,2006,15,KY,6710,415
Gillmore No. 1,2014,15,KY,15540,387
Joes Branch #2,2005,26,KY,19934,1073
OAM#40,2003,2,KY,40902,1441
Old Union,2013,60,AL,284563,2697
Sloan Mountain Mine,2014,71,AL,332587,2424
Freelandville West Underground ,2016,35,IN,123078,1120
ADDCAR Systems 13 HWM Serial No 23013,2006,17,IN,92958,1206
Red Oak Mine,2011,4,PA,13424,1954
Highwall Miner No.1,2018,10,WV,104174,1950
MINE FOUR LLC,2005,21,WV,147308,1943
Caballo Mine,2010,381,WY,23500122,2021
# 5,2015,35,KY,124730,1954
Straight Creek #1 Mine,2006,39,KY,280285,2219
King II,2011,59,CO,618132,2250
The American Coal Company New Era Mine,2010,508,IL,5774752,2494
Deep Mine # 10 ,2003,46,VA,172587,762
Lions Club,2000,17,OH,149146,2980
Windsor Mine,2000,179,WV,1897198,2411
No 1 Surface,2002,34,WV,413108,2341
Standing Stone Mine,2005,25,OH,313048,2895
Job #8,2011,12,KY,47384,2073
Gregory Branch Mine,2014,15,KY,46527,1273
D-28 Huff Creek,2015,95,KY,564201,2527
Brier Hill,2009,4,PA,962,258
Broad Run Mine,2008,133,WV,583867,2476
No. 2,2008,34,WV,102180,1389
Upper Big Branch Mine-South,2010,94,WV,438715,2490
Edwight Surface Mine,2013,137,WV,1018102,2532
Mountain View Mine,2017,200,WV,2114258,2087
Dry Branch Surface No 1,2003,21,WV,173130,2505
Synergy Surface Mine No 1,2012,107,WV,861076,2344
Deep Mine No 8,2006,39,WV,507885,2500
Mine No 4,2007,61,WV,1016816,2790
Fork Creek Mine No 3,2004,7,WV,10594,699
Cherry Tree Mine,2009,97,PA,1002694,2422
Huskin Mine,2005,15,PA,143391,2333
Federal Hill Mine,2008,4,MD,28074,1990
L & E Buck Stripping,2004,2,PA,2427,1900
Hawk Run Mine,2007,2,PA,2388,905
Emerald Mine No 1,2014,411,PA,3951247,2141
Ancient Sun Strip Saylor-McKinney,2017,2,PA,6098,1675
Kraynak No 3,2010,2,PA,9294,1645
Jeddo Basin (J-44),2004,51,PA,102798,2041
Three Oaks,2007,126,TX,4120619,2050
Cherokee Mine,2010,92,VA,250020,1977
Mountaineer Surface Mine No 1,2002,13,WV,52097,943
Mustang Stripping,2014,4,PA,7822,1071
Panther Creek Mine,2000,8,MO,187582,2034
Simmons Fork Surface Mine,2000,38,WV,815768,2666
Cooper Mine,2001,11,AL,103229,2463
Ky No. Mine 1,2008,43,KY,47322,921
FG 11,2003,6,KY,4875,297
Infinity #4,2011,29,KY,120341,2498
Highland 11 Mine,2002,83,KY,709994,2214
Lewis Mine,2005,22,IN,448986,2717
Gold Star Mine,2016,13,IN,14871,1621
Mine No. 10,2012,9,WV,26093,2325
Lost Flat Surface Mine,2015,9,WV,63665,1617
No. 2,2010,43,WV,144754,2190
San Juan Mine 1,2011,263,NM,3983025,1892
Cabin Mine,2006,18,WV,98587,1494
Tusky,2012,57,OH,457886,2162
Shud Hounds Strip,2005,2,PA,4072,445
"Bell Resources, Inc",2016,3,PA,10669,1240
The American Coal Company New Era Mine,2004,606,IL,6517541,2569
Laflin Quarry,2013,6,PA,7600,2238
Enlow Fork Mine,2018,561,PA,7386068,1814
Yenzi Strip #3 Mine,2006,2,PA,12712,1448
Bennetts Fork TN Mine,2003,21,TN,179014,2413
No. 1,2004,18,VA,79863,2587
Bearwallow Surface,2007,3,VA,5035,1480
White Cabin No 5 Mine,2000,26,KY,475775,2308
Murphy GFCC,2012,4,PA,12532,2363
Park Mine Coal Company,2017,1,PA,25202,1920
Cumberland Mine,2001,414,PA,6654799,2248
AG4 Sawmill Hollow #2,2001,2,VA,37261,2220
Gorgas Pond Project,2001,6,AL,70653,2055
Turkey Branch,2012,11,KY,6340,351
Southeastern Auger No. 1,2010,2,WV,2689,415
S-2 Buckhorn,2008,21,KY,7749,226
S-27 Bluegrass,2013,16,KY,23967,1109
Riveredge Mine,2017,127,KY,1313001,2679
Vicco Mine,2006,86,KY,876162,2738
Pe Letcher County,2003,49,KY,562057,2732
F-9 Prater Branch,2004,41,KY,391333,1773
Segco/Toby Mine,2007,27,AL,100971,1828
Auger #26 ,2005,3,KY,18185,601
S-5 Aily Branch,2012,33,VA,159693,2198
True Energy Fuels Mine No. 2,2010,20,VA,18566,447
"Black Castle Mining Company, LLC",2009,31,WV,366200,2613
Mountaineer Alma A Mine,2013,33,WV,53396,2204
Burn Coal Inc Mine #1,2003,16,WV,105868,1918
Crosscreek Mine,2007,20,WV,327411,3076
No. 8,2009,83,WV,349875,2346
Dry Fork Mine,2004,55,WY,4533621,2126
No. 77,2016,49,KY,249967,2073
Auger Mine #21,2000,6,KY,59068,636
Tams No.1 Surface Mine,2000,16,WV,46790,1690
Outpost West,2000,30,WV,427939,2475
Cass #1 Mine,2013,3,PA,6100,239
Kimberly Run,2014,153,PA,406037,2100
New Castle Job,2011,1,PA,1532,508
Paw Paw Mine,2010,66,VA,222757,2557
Reevesdale #1,2003,2,PA,7591,1283
Mountaineer #1,2003,6,PA,26375,1306
Wooton Job #4,2003,42,KY,418237,2481
#7,2010,13,KY,49124,2132
Bear Branch Mine Auger No. 1 ,2013,3,KY,1100,93
#5,2007,69,KY,517373,2775
No. 4,2003,19,KY,96531,1517
Carr Creek #1,2002,3,KY,10994,1056
Mine No. 42,2015,93,WV,307771,2316
Eagle #2 Mine,2008,28,WV,32445,1094
Surface Mine No 2,2010,139,WV,1572254,2602
Salt Run Mine #1,2013,58,OH,586744,2846
Caballo Mine,2006,331,WY,32775697,2116
S & H # 10,2008,13,TN,69196,2296
#5,2004,7,VA,32216,1954
Deep Mine # 4,2004,32,VA,140330,1823
Primrose Slope,2013,9,PA,13127,1849
Southern Division Strips,2006,5,PA,67354,1424
Hill Creek Highwall,2016,6,VA,205695,1517
Mine No  5,2006,62,WV,440796,2120
McMillion Creek Mine #4,2008,10,WV,26394,1114
Horse Creek No 1,2011,42,WV,169572,2638
SHM 12-66,2012,14,WV,221694,2682
Bishop Plant,2003,8,WV,34351,1697
Campbells Creek No 10 Mine,2006,48,WV,326049,2085
Coon Hollow Tunnel Mine,2005,23,WV,48048,928
Mine No. 37,2010,38,WV,163250,2526
Europa Mine,2006,110,WV,1114009,2496
Edwight Surface Mine,2007,129,WV,1572126,2780
3119,2014,3,MD,5352,720
No 10-6A,2006,24,OH,170204,2352
Kimble #1,2008,18,OH,315450,2868
Dutch Run,2011,30,PA,334951,2332
Deep Mine # 7 ,2004,42,VA,285949,2177
Laurel Sand and Stone Inc,2007,17,PA,19758,2256
Beaver Valley,2010,12,PA,179386,2223
Black Thunder,2018,1168,WY,53567453,1512
Rosebud Mine&Crusher/Conveyor,2000,252,MT,10430858,1754
Bridger Underground Coal Mine,2014,299,WY,3369731,2443
Foster South,2014,20,MO,362813,2551
Coal Hollow Mine,2012,12,KY,92098,1786
Mine #5,2005,32,KY,249711,848
Process Energy,2013,127,KY,766591,2234
Simpson Br,2011,14,KY,19178,1399
Massey HWM #11,2009,9,KY,171818,2720
Job #59 Pond Knob Surface,2007,12,KY,42192,533
Pegs Branch,2014,15,KY,49336,1226
#20 Strip Job,2008,34,KY,455250,3131
Mine No 2,2001,23,VA,132575,1456
Mine #3,2001,13,KY,26940,738
M&T,2001,8,KY,32936,2239
West Elk Mine,2004,268,CO,6493363,2210
Trapper Mine,2008,146,CO,2320452,2170
Ky No. Mine 1,2005,31,KY,186572,2106
Access Energy,2012,46,KY,149269,2361
Surface #4,2016,11,KY,58262,2018
Cardinal,2015,446,KY,3973731,2584
GLR #1,2002,4,PA,26560,1372
Bravo Mine,2003,22,KY,28580,960
Rock Island Mine,2007,19,OK,61745,1555
Rockton/Shaffer Mine,2006,20,PA,99942,2495
Mine No. 7,2009,70,TN,317438,2590
D-10 Dorchester,2004,39,VA,624554,2555
Penny #1,2000,2,AR,5523,1274
Hiram Fork,2002,11,VA,42105,1651
Reese No 1 & 2 Strip,2004,3,PA,13787,1452
Speedway No 1 Strip Mine,2009,6,PA,27049,2361
Area #2,2011,8,TN,3018,2216
No. 2,2008,37,VA,117972,2337
Black Bear #4,2003,61,VA,578087,2316
Cheyenne Saline Co. #1,2000,108,IL,1086159,2368
Tedco Mine,2011,3,PA,5517,655
Mine 33,2004,19,PA,167677,2369
Cabin Ridge Surface Mine,2016,56,VA,388833,2526
Spruce No. 1 Mine,2011,38,WV,819831,2554
Cedar Grove #2 Mine,2015,73,WV,468037,2221
Dutch Run Strip's,2000,1,PA,2597,1278
American Eagle Mine,2014,447,WV,2732344,2148
Beckley Pocahontas Mine,2007,27,WV,18068,1930
Liggett #5,2010,24,KY,72539,1340
No 1,2007,25,KY,318298,2171
Auger Mine No 28,2013,2,KY,2058,269
Cherries Branch Surface Mine,2007,6,KY,15283,540
Mill Creek Surface,2009,6,KY,22018,2296
#1,2014,7,KY,20640,912
Auger Mine No 17,2008,3,KY,5614,56
Navajo Mine,2002,330,NM,8099216,2041
West Ridge Mine,2012,226,UT,2409444,2452
Low Splint A Mine,2010,40,VA,264895,2272
Fairview Coal Co.,2000,1,MD,7840,664
Coal Valley Mine,2013,58,AL,407841,2734
No 1,2001,20,KY,342209,1411
Bronzite,2008,40,WV,446381,2717
Marshall County Mine,2018,721,WV,8541471,1740
Trapper Mine,2014,150,CO,1943717,2084
Kellar #1,2009,3,PA,12007,879
RFI Strip & Tipple,2007,42,PA,272602,2494
Foster South,2003,10,MO,188600,2165
Slones Branch,2009,48,KY,237841,2401
No 4,2013,29,KY,182753,2387
Snyder Mine,2002,33,OH,649045,2598
Rosa Mine,2011,27,AL,25697,1428
Logan Surface Mine,2010,22,PA,93255,2205
Commonwealth Quarry,2013,3,PA,133,2283
Mine 1,2006,4,PA,30734,2241
#2 Surface,2011,1,KY,5708,2475
RB #4,2003,40,KY,311477,2476
Baumgardner Operation,2007,10,PA,86799,2435
Tamaqua Mine,2018,50,PA,199007,1763
No 27 Strip,2000,30,VA,367784,2255
White Queen,2002,52,WV,474741,2450
Prairie Eagle,2008,23,IL,433234,2732
Kunkle Surface Mine,2008,2,PA,10664,1521
A W Long Coal Company,2009,2,PA,198,402
SHM-75 ,2011,8,WV,113408,1688
No 8,2015,11,VA,33995,2009
Mine No 2,2014,17,WV,35059,1407
Pond Creek Mine No. 1,2007,22,WV,15119,1612
Lone Eagle West,2011,1,PA,1568,846
Black King I  North Portal,2014,33,WV,88356,2080
Rivers Edge Mine,2003,158,WV,1512966,2269
Surface No 5,2011,160,WV,818533,2418
Sexton 2 Pit,2018,66,OH,465495,1659
T.J.S. No. 6 Mine,2012,7,PA,67175,1750
#2,2007,29,VA,98097,1049
Saylor B,2010,5,WV,2265,385
Apollo Surface Mine,2016,11,WV,29746,1144
Camp Creek Mine No. 1,2003,39,WV,443760,2178
Brushy Eagle,2007,84,WV,641733,2412
Copley Trace Surface Mine,2007,78,WV,1095831,2821
W & F Contract Augering Inc,2009,2,KY,6379,1924
No 9,2008,14,KY,16129,1332
Island City,2009,5,KY,8637,1583
D-5 Mine,2018,15,KY,41307,1603
D & C Mining  Corporation,2006,27,KY,135772,1652
Laurel Ridge #1,2007,1,PA,5524,2034
#2,2003,41,KY,362213,3191
No. 13-A Mine,2003,31,WV,326845,2335
Horse Creek Eagle,2009,81,WV,855034,2583
Prime No. 1 Mine,2010,127,WV,1002752,2025
Koon Mine,2007,4,WV,1471,1660
Sexton 2 Pit,2014,72,OH,758064,2274
No 1 Strip,2005,22,MD,64138,1973
#1 Strip,2000,33,VA,217592,1908
Addcar Systems 03,2009,41,IN,370527,2683
No 7C,2005,10,KY,17954,975
Jellico #2,2009,19,KY,17969,815
Brushy Mountain,2011,39,KY,184185,2133
D & C Mining  Corporation,2011,18,KY,81755,2029
Lykens #4,2009,2,PA,8450,1800
Mine #16,2002,25,KY,106463,1685
Strip #13,2003,118,VA,1322954,2423
Ondo Mine,2000,10,PA,110803,1501
Muskingum Mine,2001,93,OH,664624,2071
King Mine #1,2002,9,WV,85983,2204
Mine #25,2005,23,KY,170671,1777
Dundas Job,2013,36,OH,283430,2433
Hardrock Coal Co.,2009,1,PA,155,1920
Lilly Fork Surface Mine,2003,7,WV,33513,1152
Josephine No 2 Mine,2010,75,WV,291511,2830
 Oxford Guernsey Mine,2015,11,OH,17391,960
Mary-D Strip Operation,2011,9,PA,68768,2079
Jim Bridger Mine,2010,178,WY,1994499,2030
3200,2006,3,WV,13680,1100
Emerald Mine No 1,2001,405,PA,6738254,2239
Hoffman No 1,2001,44,PA,413880,2583
Dredge #1,2008,2,KY,1591,558
No 30 Auger,2006,4,KY,23095,1196
SHM-35 ,2013,7,WV,59172,1139
Auger 84,2015,2,KY,620,130
Worthville Mine,2003,25,PA,132853,2453
Reese No 1 & 2 Strip,2018,3,PA,700,570
Tn mine 20,2008,4,TN,16131,1961
Spurlock #4 Surface Mine,2013,18,KY,191181,2158
Bear Branch Mine,2014,9,KY,27646,2315
No 18,2007,26,KY,167150,2434
Three Mile Mine #1,2009,16,KY,60889,1770
Rough Creek Mine,2004,165,KY,1189407,2415
Rainbow Mine,2000,28,IN,135400,2004
EPB Strip,2016,16,PA,113467,1691
Dugout Canyon Mine,2018,69,UT,386801,1462
Louis Lowe Surface Mine,2015,21,VA,506,1441
No. 1,2005,31,VA,67298,926
Deep Mine #26,2014,180,VA,713642,2362
Congo,2000,16,OH,59098,912
Mine No 3,2000,30,WV,162534,807
Williamstown Mine #1,2013,4,PA,5122,1440
Mine No. 7,2009,17,WV,102958,1952
No. 4 Mine,2015,64,WV,130158,745
No 48 Mine,2002,18,WV,4669,85
Strip #1,2006,17,OH,92597,1462
Somerset Co Surface,2007,17,PA,257321,2462
Taloka Creek Mine,2015,6,OK,22351,2143
No. 13-A Mine,2004,56,WV,418380,2106
Myers and Supko,2010,2,PA,983,295
Absaloka Mine,2011,151,MT,5556872,2030
Longview Mine,2000,84,PA,584828,2048
No 1A Surface Mine,2001,45,WV,331406,2186
7 Ft Slope,2016,3,PA,6852,1917
Twin Rocks Mine,2014,31,PA,163164,2271
Cindas Creek #2 LLC,2006,6,KY,333,513
#2 Strip Mine,2005,3,KY,14113,1238
Auger #35 Job 198,2006,2,KY,14584,2269
Browns Fork Mine,2005,34,KY,567916,2641
Smith  #1,2005,2,KY,3711,754
Mine #5,2004,41,KY,377996,2722
#1,2004,18,KY,51228,959
"UC Mining, LLC",2012,443,KY,3950732,2303
#20 Strip Job,2004,31,KY,433594,3134
Gooden Creek,2014,10,AL,4061,421
"Searles Mine No. 2, 3, 4, 5, 6, 7, 8 & 9",2011,73,AL,382887,2759
Red Hawk,2005,23,IL,675455,2529
D-16,2012,51,VA,99277,2622
Cravat Strip - Harrison,2007,13,OH,56769,1297
Cumberland #3,2007,2,TN,3274,391
#1 Surface-002 Section,2006,9,TN,42554,2075
No. 2,2009,38,VA,117740,2304
Deer Creek Mine,2001,281,UT,4338303,1885
Indiana County,2001,2,PA,30730,2467
Bolen Branch #1,2001,47,KY,839750,2860
D-30 Clover Fork  ,2016,99,KY,436920,2378
M & G Mining #1,2006,4,TN,18194,600
Chestnut Flats,2012,19,KY,71926,2279
HWM MS0002,2011,14,KY,79693,1172
D-3 Oldhouse,2014,34,KY,126609,2126
D & C Mining  Corporation,2012,15,KY,35886,1398
Worthville Mine,2005,31,PA,91452,2432
Serill Strip,2007,4,PA,12573,2034
Kerry Coal Strips,2003,8,PA,15513,2733
Moose No. 1,2005,18,KY,30677,608
Honey Hole,2002,6,KY,4966,1407
N & L Slope,2002,2,PA,3579,1140
Shoal Creek Mine,2000,491,AL,4194104,2037
Mine # 1,2000,61,KY,693514,2628
No 66,2000,7,WV,46552,2371
Mine No 1,2001,74,WV,1329671,2503
Air Quality #1 Mine,2009,286,IN,1549193,2354
Upper Big Branch Surface Mine,2003,15,WV,75126,550
Primrose Slope,2004,2,PA,2635,2109
Black Pearl Underground Mine,2010,39,WV,215396,2303
Camp Creek Mine No. 1,2006,53,WV,92993,1127
Slip Ridge Cedar Grove Mine,2010,71,WV,400447,2325
Slip Ridge Cedar Grove Mine,2015,145,WV,445931,2423
Airport Strip,2005,2,WV,8072,557
Buckingham  Mine #6,2015,159,OH,708432,1592
Baylor,2004,2,PA,1701,84
Mine #1,2007,26,KY,60532,1987
Buckingham Mine #2,2008,6,OH,12463,393
Knob Creek,2010,25,PA,274670,2248
Friendsville Mine,2011,82,IL,1275023,2897
Mine No. 15,2003,60,KY,245812,730
#4,2008,3,KY,1125,420
Job 52,2009,3,KY,12576,1477
Polly Surface,2004,23,KY,63629,1924
No 4,2002,18,KY,44580,1021
#9,2001,17,KY,24899,188
Isaacs Run HWM,2008,8,WV,21090,639
Carlisle Mine,2014,297,IN,3049522,2366
Sebastian Mine,2007,65,AR,80280,2320
Cordero Rojo Mine,2005,490,WY,37836811,2181
Belle Ayr Mine,2013,294,WY,18258922,2193
Black Thunder,2008,1115,WY,88584704,2190
No 8,2008,5,VA,2636,345
Mine No 3,2012,16,WV,62549,1909
Westmoreland Mines,2000,1,PA,131,79
Gateway Eagle Mine,2015,119,WV,534064,2292
Mountain View Mine,2008,175,WV,2560616,2129
Jakes Branch Job,2012,21,KY,244057,2622
No 2,2007,13,KY,78888,2038
Round Bottom Surface  Mine,2011,27,KY,119887,2766
Riveredge Mine,2014,47,KY,220910,2276
Vicco Mine,2005,87,KY,910628,2800
Blackberry #1,2010,18,KY,16802,858
Wilson Deep Mine #1,2009,98,VA,281020,2555
Dogwood #3,2005,42,VA,241138,2378
GHM #51,2003,3,KY,13431,314
Dunkard Strip,2002,2,PA,7078,1747
Cane Creek Mine,2002,9,AL,1500,913
Combs Branch Job,2002,54,KY,684313,2324
Sand Plant #1,2000,3,WV,1478,137
Mine No 4,2001,28,WV,210198,1046
Rossmoyne No. 1 Mine,2010,26,PA,238088,2290
Cresent Valley Mine,2018,16,AL,32822,854
Brockton Stripping,2015,1,PA,1418,341
Spring Mountain Operation,2017,5,PA,6188,2209
Somerville,2013,26,IN,587931,3068
Calvary No 81,2009,110,KY,516624,2395
Mine No 3,2009,237,KY,1483729,2351
Trace Fork,2000,17,KY,29298,584
No 1 Slope,2000,4,PA,5606,1048
Mine No 2,2004,8,WV,44477,1518
#1,2007,12,KY,10633,874
Auger #35 Job 198,2011,2,KY,22540,2031
Long Fork Mine,2007,12,KY,3944,209
Equality,2011,124,KY,2016809,2648
Parkwood Mine,2016,19,PA,109086,1481
Auger #1,2008,4,PA,21480,1316
Sam #14,2010,25,KY,194966,2744
RB #5,2001,21,KY,211909,2316
Beury Mountain Mine No. 1,2002,2,WV,1604,585
Deep Mine # 7 ,2006,45,VA,9729,145
No 10-6A,2003,35,OH,282408,2180
Big Run Mine,2000,5,PA,72343,1690
No 1,2001,22,KY,52193,1591
Mine No 7,2001,19,KY,67544,1406
#16 Auger,2006,2,KY,740,41
Browns Fork Mine,2005,9,KY,447759,2862
Rob Fork Contour,2009,11,KY,29553,2430
Long Fork Mine,2012,5,KY,5458,627
County Line Mine,2009,29,KY,55242,750
Taylor Fork Energy,2008,71,KY,773272,2167
Cherep #1,2017,3,PA,13844,1720
Tito Mine White Vein Slope,2002,4,PA,2171,910
Convict Hollow,2011,11,VA,33481,2857
Air Quality #1 Mine,2000,173,IN,1643743,2500
#9A,2018,27,KY,40842,1006
Tex Mine #1,2005,28,KY,115481,1877
Owls Nest Job #8,2010,28,KY,320139,2571
# 4,2011,8,KY,32437,2583
Mine No. 8,2011,17,KY,123204,2565
King Mine #1,2001,7,WV,57491,1672
ADDCAR #2,2014,18,WV,53794,577
S-14 Trace Fork,2014,35,KY,81212,696
D-28 Huff Creek,2008,102,KY,831120,2632
No. 75,2008,89,KY,641934,2740
Job-17 West,2002,65,KY,873108,2644
Alliance Mine No 1,2006,11,AL,53973,1802
Collie Pond Co,2014,3,IN,4325,752
Gray #1 - Blackfoot #5,2010,17,IN,288436,2123
Joshua Coal Company,2006,2,OK,4194,3130
Deep Mine 41,2015,286,VA,1325274,2297
Skyway III Mine,2015,18,WV,72646,2448
Laurel Coalburg Tunnel Mine,2007,2,WV,2777,379
Hunter Peerless Mine,2014,70,WV,711466,2367
No 2 Mine,2004,162,WV,1420726,2348
Wyoming No 2,2009,36,WV,168276,2525
Surface No 2,2007,6,KY,15276,1352
#1,2001,18,KY,76326,1529
Center Creek Mine,2008,9,KY,75904,2779
#12A,2009,11,KY,7254,713
No 6,2010,30,KY,78999,1071
Highsplint Strip #2 Dixie 25,2012,19,KY,63508,2465
D-1 Garmeada #2,2009,21,KY,73852,1475
Bear Branch Mine,2014,7,KY,196019,2248
D-11 Panther,2012,90,KY,435084,2342
Rough Creek Mine,2002,106,KY,748210,2335
Liberty,2015,152,TX,1326543,2107
Mine # 7,2011,5,VA,12469,1566
Old Union,2008,28,AL,238353,2567
Davis Creek Mine,2009,8,AL,24300,1514
Robindale Energy - Armagh,2016,5,PA,474,1127
Kilgore Creek Highwall Mine,2015,9,VA,40399,1156
D-7 Osaka,2016,27,VA,125221,2625
Slabcamp,2017,111,WV,1197819,2356
Pond Creek Mine No. 1,2011,16,WV,21928,2531
Nolo,2001,21,PA,309734,2367
#1 Strip,2001,3,WV,9917,1701
Rowdy Gap Mine,2001,89,KY,1321465,2674
J & T,2009,14,KY,109482,2362
Right Oakley Surface,2014,56,KY,586738,2800
R F #3 Elkhorn,2004,26,KY,203415,2700
S-1 Hunts Branch,2010,40,KY,699382,3176
No 3,2010,6,KY,6721,853
No 1 Strip,2003,3,WV,4358,2045
Strip #12,2004,40,VA,355790,2855
No 2 Surface,2000,5,KY,18024,1397
South East Mine #2 LK,2001,36,WV,371928,1629
MINE FOUR LLC,2001,15,WV,109823,1965
Craney Mine,2007,99,IN,1899161,2793
3140,2013,3,WV,33617,1920
Sherpa Mining,2012,20,PA,101533,2331
No. 5,2016,10,VA,32400,1762
No. 7,2005,7,VA,42848,1577
"Black Castle Mining Company, LLC",2016,34,WV,236111,1259
Buck Mountain Vein,2018,4,PA,3274,1560
No 2,2004,29,VA,121230,2171
Rock Ridge No 1 Slope,2003,3,PA,11576,1972
Pardee/Wax,2007,67,VA,32425,672
Shannon #6,2000,4,KY,9210,1047
No 49,2000,12,WV,89376,1570
Pine Hill #2,2000,10,PA,16569,1221
Mine No 5,2001,19,TN,128457,1462
Trevorton Strip,2014,4,PA,58721,3071
Beehive ,2006,18,VA,67537,2116
Gatliff Surface #3,2005,28,KY,344400,2303
North Knottsville Mine,2012,11,KY,103089,1664
Bear Branch,2008,34,KY,71997,710
S-1 Hunts Branch,2009,40,KY,120248,857
No. 1,2003,11,KY,35456,1662
No 4,2010,57,KY,406464,2850
Three Mile Mine #1,2002,103,KY,1063022,2360
#44,2001,11,VA,78936,2164
Tuscarora Mines & Minerals Corporation,2001,2,PA,1209,947
Bear Fork,2008,21,KY,113125,2087
Feds Creek Surface,2010,18,KY,78224,2611
Coal Stone Branch Mine #1,2007,5,KY,29266,1400
#31,2012,51,KY,107389,1786
Eagle 2,2011,15,KY,92683,2109
Gorgas Pond Project,2005,3,AL,2257,33
Majestic Mine No. 2,2010,7,AL,54710,2204
Howton Mine,2004,9,AL,52244,1937
Freelandville East,2014,20,IN,237685,2258
Martz Mine,2003,12,IN,344622,3136
