country,year,pop,continent,lifeExp,gdpPercap
Lattimer Division,2008,6,PA,16414,1588
Hobet Mine,2018,15,WV,14116,2016
Lucerne  #1,2005,17,PA,231650,2436
Century Mine,2006,324,OH,6450932,2295
No. 3-A Mine,2009,25,WV,86559,1654
MT-11 Surface Mine,2007,9,WV,57793,2302
Paynter Branch Surface Mine,2010,14,WV,163046,2792
Pond Creek Mine No. 1,2008,10,WV,22365,1790
Saylor Mine,2011,47,WV,48498,577
Edwight Surface Mine,2005,128,WV,1984711,2819
Auger 3152,2017,3,PA,9247,504
Foster South,2012,18,MO,349306,2552
Band Mill Mine,2001,113,VA,930965,2565
No. 77,2001,79,KY,809074,2875
No 2,2016,2,KY,3041,282
Wiley Area 80,2006,17,KY,222827,2382
No. 1,2014,205,KY,1288789,2578
#1 Strip Mine,2014,9,KY,34104,2747
Sassafras 10,2002,21,KY,58502,1276
No. 1,2008,13,KY,26149,757
No. 1 Surface,2015,13,MD,72368,2014
Mine No 1,2003,20,AL,174988,2827
Shoal Creek Mine,2012,554,AL,1286573,2225
Auger Machine Ser #3158,2010,2,KY,912,227
MC#1 Mine,2014,294,IL,9097628,2336
Bluff Spur Mine,2010,50,VA,333875,2544
Carroll Pits,2006,11,OH,217745,3259
Eagle Hill Strip,2003,5,PA,14338,2382
Laurel Ridge #1,2014,1,PA,305,444
Reed Mine,2004,7,PA,21566,695
Low Splint No 1 Mine,2004,29,VA,342389,2450
Millstone Reclamation,2000,28,KY,234223,2253
Yenzi Strip #3 Mine,2000,8,PA,19505,174
Hazleton Shaft South,2000,3,PA,32395,2195
Pond Creek No 2,2001,18,KY,35897,1243
Air Quality #1 Mine,2012,164,IN,862249,2273
Canebrake Surface,2001,32,WV,92471,768
Trace Branch,2002,38,KY,327679,1463
No 1,2002,11,VA,74798,2097
Shane Mine,2001,13,PA,100935,2255
Simpson Br,2005,11,KY,131949,1311
Poor Branch Surface #1,2006,12,KY,120546,2035
S-18 Seng Branch,2015,27,KY,330793,3059
K-3,2008,21,KY,68069,2632
Black Light Energy ,2008,42,KY,275806,2649
Dunkard Strip,2003,2,PA,4564,1049
New Centerville Quarry,2011,9,PA,3327,1938
Auger Mine No 17,2003,3,KY,25602,964
Oak Hill Strip,2002,200,TX,4459964,2093
Rmi No 1 & 2,2002,2,OH,11759,1189
Wabash Mine,2002,185,IL,1490794,2096
Mine #2,2003,19,VA,2197,808
Shumate Upper Cedar Grove,2002,30,WV,253556,3036
Cane Creek Mine,2010,9,AL,18013,2375
Johnson Mine,2008,12,AL,55398,2444
Alma No 1 ,2018,119,WV,816865,1847
Seng Creek Powellton,2012,98,WV,444006,2146
No 3,2003,52,WV,306937,2333
Seven Pines,2005,40,WV,583271,2157
Looney Creek Taggart Mine,2010,41,VA,117071,2299
Huffman HWM,2016,13,VA,163167,2667
No 5,2008,40,WV,277198,3744
Sycamore Surface Mine,2017,37,WV,263767,2691
Eckman Surface Mine,2008,76,WV,489345,2815
Feds Creek #1,2003,22,KY,69208,628
Century #1,2010,3,WV,8633,640
Remining No 1,2004,41,WV,358731,2459
"Bell Resources, Inc",2005,7,PA,38418,2402
Seneca Mine,2005,4,PA,400,9
Little Toby Mine,2007,25,PA,282594,2415
Calvary No 81,2005,38,KY,370946,2593
Mine No 1,2007,2,KY,7106,486
Schreckengost,2007,1,PA,2000,560
Kellar #2,2012,3,PA,6237,609
Roy #2,2013,2,PA,2619,523
Mine No 1,2013,2,KY,3402,420
Buckingham Mine #2,2014,2,OH,5340,1589
Pioneer #1,2015,1,PA,7212,2198
Beaver Valley,2005,13,PA,382401,2334
Win-More Mining,2008,10,MD,41832,2081
Bishop Plant,2001,3,WV,40828,2467
Emily Creek Energy,2008,22,KY,157107,2118
Mine #3,2014,46,KY,38138,2221
No. 8,2016,6,KY,31262,2306
Marshall Mine,2014,14,TX,3338,2043
M S M Coal Company Inc,2018,5,PA,6374,1122
Mine No. 38,2011,9,VA,40037,2227
Band Mill Mine,2002,99,VA,762856,2568
AG4 Sawmill Hollow #2,2002,37,VA,413798,2413
Shoal Creek Mine,2015,365,AL,2043184,2300
Bowman Strip,2008,50,OH,373692,2569
